Date(EGSE);"HK_P5V0_ANA(raw)";"HK_P5V0_ANA(V)";"HK_P3V3_ANA(raw)";"HK_P3V3_ANA(V)";"HK_P2V5_ANA(raw)";"HK_P2V5_ANA(V)";"HK_P1V8_ANA(raw)";"HK_P1V8_ANA(V)";"HK_M2V5_ANA(raw)";"HK_M2V5_ANA(V)";"HK_M5V0_ANA(raw)";"HK_M5V0_ANA(V)";"HK_P3V3_DIG(raw)";"HK_P3V3_DIG(V)";"HK_P2V5_DIG(raw)";"HK_P2V5_DIG(V)";"HK_P1V2_DIG(raw)";"HK_P1V2_DIG(V)";"HK_TEMP_AVE(raw)";"HK_TEMP_AVE(°C)";"HK_TEMP_MAX(raw)";"HK_TEMP_MAX(°C)";"HK_P2V5_AUX(raw)";"HK_P2V5_AUX(V)";"HK_VREF_TEMP(raw)";"HK_VREF_TEMP(V)";"HK_VREF_R2R(raw)";"HK_VREF_R2R(V)";"DELOCK_FLAG(raw)";"DELOCK_FLAG()";"DMX_hks_15(raw)";"DMX_hks_15()";"DMX_hks_16(raw)";"DMX_hks_16()";"TMTC OK Board Temp 1()";"TMTC OK Board Temp 2()";"TMTC OK FPGA Temp()"
23/10/2024 13:38:27;2008;4.8685;1930;3.1080;1913;2.4081;1911;1.7071;1947;-2.4837;1965;-5.0110;1951;3.1570;1912;2.5090;1929;1.1422;2821;34.2657;3192;35.0490;1907;2.3966;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.3;34.8
23/10/2024 13:38:27;2008;4.8685;1932;3.1112;1913;2.4081;1911;1.7071;1947;-2.4837;1965;-5.0110;1951;3.1570;1913;2.5103;1927;1.1410;2825;34.3917;3192;35.0490;1908;2.3979;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.0;32.3;34.8
23/10/2024 13:38:28;2008;4.8685;1932;3.1112;1913;2.4081;1913;1.7089;1947;-2.4837;1964;-5.0085;1952;3.1586;1916;2.5142;1927;1.1410;2821;34.2657;3192;35.0490;1914;2.4054;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.3;35.3
23/10/2024 13:38:30;2007;4.8661;1932;3.1112;1913;2.4081;1911;1.7071;1947;-2.4837;1965;-5.0110;1951;3.1570;1913;2.5103;1928;1.1416;2824;34.3602;3195;35.1137;1909;2.3991;1980;2.4983;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;32.9;32.3;35.3
23/10/2024 13:38:31;2008;4.8685;1932;3.1112;1913;2.4081;1911;1.7071;1947;-2.4837;1965;-5.0110;1951;3.1570;1911;2.5077;1927;1.1410;2823;34.3287;3191;35.0274;1908;2.3979;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.3;35.3
23/10/2024 13:38:32;2007;4.8661;1931;3.1096;1912;2.4068;1910;1.7062;1947;-2.4837;1965;-5.0110;1951;3.1570;1911;2.5077;1928;1.1416;2826;34.4232;3192;35.0490;1907;2.3966;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.3;35.3
23/10/2024 13:38:33;2008;4.8685;1931;3.1096;1912;2.4068;1909;1.7053;1948;-2.4849;1965;-5.0110;1950;3.1554;1914;2.5116;1927;1.1410;2824;34.3602;3192;35.0490;1911;2.4016;1979;2.4970;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;32.9;32.3;35.3
23/10/2024 13:38:33;2007;4.8661;1931;3.1096;1913;2.4081;1909;1.7053;1947;-2.4837;1965;-5.0110;1949;3.1538;1914;2.5116;1927;1.1410;2825;34.3917;3192;35.0490;1911;2.4016;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.4;34.9
23/10/2024 13:38:34;2008;4.8685;1931;3.1096;1912;2.4068;1908;1.7044;1948;-2.4849;1965;-5.0110;1950;3.1554;1912;2.5090;1927;1.1410;2825;34.3917;3192;35.0490;1912;2.4029;1977;2.4945;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.4;34.9
23/10/2024 13:38:36;2008;4.8685;1931;3.1096;1913;2.4081;1907;1.7035;1947;-2.4837;1965;-5.0110;1949;3.1538;1909;2.5050;1928;1.1416;2826;34.4232;3193;35.0705;1906;2.3953;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.4;34.9
23/10/2024 13:38:37;2008;4.8685;1931;3.1096;1912;2.4068;1906;1.7026;1948;-2.4849;1965;-5.0110;1949;3.1538;1912;2.5090;1928;1.1416;2826;34.4232;3195;35.1137;1908;2.3979;1977;2.4945;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;32.9;32.4;34.9
23/10/2024 13:38:38;2008;4.8685;1931;3.1096;1913;2.4081;1904;1.7008;1947;-2.4837;1965;-5.0110;1948;3.1521;1909;2.5050;1927;1.1410;2827;34.4547;3194;35.0921;1906;2.3953;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;32.9;32.4;34.9
23/10/2024 13:38:39;2008;4.8685;1932;3.1112;1914;2.4093;1906;1.7026;1948;-2.4849;1965;-5.0110;1951;3.1570;1914;2.5116;1928;1.1416;2825;34.3917;3197;35.1569;1911;2.4016;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.4;35.2
23/10/2024 13:38:40;2008;4.8685;1931;3.1096;1913;2.4081;1908;1.7044;1948;-2.4849;1965;-5.0110;1949;3.1538;1910;2.5064;1927;1.1410;2827;34.4547;3196;35.1353;1907;2.3966;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.4;35.2
23/10/2024 13:38:41;2007;4.8661;1932;3.1112;1912;2.4068;1907;1.7035;1947;-2.4837;1964;-5.0085;1950;3.1554;1911;2.5077;1926;1.1404;2827;34.4547;3195;35.1137;1910;2.4004;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.4;35.2
23/10/2024 13:38:42;2008;4.8685;1932;3.1112;1913;2.4081;1908;1.7044;1947;-2.4837;1966;-5.0136;1949;3.1538;1912;2.5090;1929;1.1422;2827;34.4547;3198;35.1785;1908;2.3979;1977;2.4945;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.4;35.2
23/10/2024 13:38:43;2007;4.8661;1931;3.1096;1913;2.4081;1908;1.7044;1948;-2.4849;1965;-5.0110;1951;3.1570;1913;2.5103;1928;1.1416;2827;34.4547;3196;35.1353;1910;2.4004;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.4;35.2
23/10/2024 13:38:44;2008;4.8685;1931;3.1096;1913;2.4081;1908;1.7044;1948;-2.4849;1965;-5.0110;1950;3.1554;1914;2.5116;1928;1.1416;2825;34.3917;3196;35.1353;1911;2.4016;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.1;32.5;35.2
23/10/2024 13:38:45;2009;4.8709;1932;3.1112;1913;2.4081;1908;1.7044;1947;-2.4837;1965;-5.0110;1951;3.1570;1911;2.5077;1928;1.1416;2831;34.5807;3198;35.1785;1909;2.3991;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.1;32.5;35.2
23/10/2024 13:38:45;2008;4.8685;1932;3.1112;1913;2.4081;1908;1.7044;1947;-2.4837;1965;-5.0110;1950;3.1554;1915;2.5129;1929;1.1422;2829;34.5177;3198;35.1785;1913;2.4041;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.1;32.5;35.2
23/10/2024 13:38:47;2008;4.8685;1932;3.1112;1913;2.4081;1908;1.7044;1948;-2.4849;1965;-5.0110;1950;3.1554;1914;2.5116;1927;1.1410;2830;34.5492;3197;35.1569;1913;2.4041;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.1;32.5;35.2
23/10/2024 13:38:48;2008;4.8685;1931;3.1096;1913;2.4081;1907;1.7035;1947;-2.4837;1964;-5.0085;1950;3.1554;1914;2.5116;1928;1.1416;2827;34.4547;3198;35.1785;1910;2.4004;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.1;32.5;35.2
