Analog Bandwidth Channel 1: 500000000;;;;;;;
Analog Bandwidth Channel 2: 500000000;;;;;;;
Analog Bandwidth Channel 3: 500000000;;;;;;;
Analog Bandwidth Channel 4: 500000000;;;;;;;
Record Length: 8761;;;;;;;
Sample Rate: 125000000;;;;;;;
ADU0;Meas0;ADU1;Meas1;ADU2;Meas2;ADU3;Meas3
1536;0.189332187;-1537;0.189755466;-1537;-0.000412133;1536;0.007035611
-1537;-0.175094103;1536;-0.174308673;1536;-0.000659698;-1537;0.007196785
1792;0.219863297;-1793;0.219199681;-1793;-0.000782991;1792;0.007347639
-1793;-0.206045357;1792;-0.204756084;1792;-0.000433217;-1793;0.007357035
2048;0.250218845;-2049;0.249776722;-2049;-0.000421376;2048;0.007274664
-2049;-0.235794339;2048;-0.234618455;2048;-0.000633096;-2049;0.007445768
2304;0.279754881;-2305;0.279513748;-2305;-0.000890044;2304;0.007577202
-2305;-0.266120784;2304;-0.26531316;2304;-0.000450059;-2305;0.007561417
2560;0.308899397;-2561;0.309592338;-2561;-0.000384241;2560;0.007464857
-2561;-0.296876703;2560;-0.29628696;2560;-0.000698374;-2561;0.007502667
2816;0.340109032;-2817;0.339988068;-2817;-0.000446789;2816;0.007476335
-2817;-0.32751084;2816;-0.325515454;2816;-0.000623904;-2817;0.007442662
3072;0.369448689;-3073;0.369520017;-3073;-0.000683195;3072;0.007036912
-3073;-0.358497122;3072;-0.356315232;3072;-0.000628858;-3073;0.007742604
3328;0.400572352;-3329;0.40033529;-3329;-0.000901604;3328;0.007229369
-3329;-0.38938121;3328;-0.385944638;3328;-0.001142902;-3329;0.00722756
3584;0.432305349;-3585;0.431016353;-3585;-0.000603619;3584;0.007395638
-3585;-0.419807711;3584;-0.41753944;3584;-0.000450507;-3585;0.007197434
3840;0.462530693;-3841;0.460899117;-3841;-0.000649354;3840;0.00743822
-3841;-0.449672432;3840;-0.446967624;3840;-0.000465909;-3841;0.007409414
4096;0.492549869;-4097;0.490327772;-4097;-0.000518083;4096;0.007324485
-4097;-0.481571208;4096;-0.477384347;4096;-0.000567733;-4097;0.007328754
4352;0.523407916;-4353;0.52059059;-4353;-0.000600846;4352;0.007273395
-4353;-0.51066951;4352;-0.509171308;4352;-0.00039067;-4353;0.007709359
4608;0.553401848;-4609;0.550650769;-4609;-0.000286535;4608;0.006775911
-4609;-0.541619071;4608;-0.538259017;4608;-0.00082012;-4609;0.007593445
4864;0.584169121;-4865;0.580551958;-4865;-9.03815E-05;4864;0.007163946
-4865;-0.573571869;4864;-0.569470141;4864;-0.000771142;-4865;0.007418125
5120;0.615216201;-5121;0.610536643;-5121;-0.000393882;5120;0.006999368
-5121;-0.603794095;5120;-0.59953484;5120;-0.000650645;-5121;0.007611796
5376;0.646111295;-5377;0.641159765;-5377;-0.00067984;5376;0.00758193
-5377;-0.634453301;5376;-0.630447612;5376;-0.000266542;-5377;0.007378898
5632;0.676272487;-5633;0.671164384;-5633;-0.000510767;5632;0.007030943
-5633;-0.666305252;5632;-0.659345606;5632;-0.000194274;-5633;0.00736805
5888;0.708055928;-5889;0.701938811;-5889;-0.000660638;5888;0.007153122
-5889;-0.697771805;5888;-0.688851232;5888;-0.000393572;-5889;0.007211153
6144;0.740344275;-6145;0.732378595;-6145;-0.000333226;6144;0.007476688
-6145;-0.729033886;6144;-0.719538045;6144;-0.000681753;-6145;0.007125967
6400;0.771629485;-6401;0.762849865;-6401;-0.000253041;6400;0.007031616
-6401;-0.761907839;6400;-0.749680724;6400;-0.000497611;-6401;0.0072417
6656;0.803480913;-6657;0.792322393;-6657;-0.000558423;6656;0.007494135
-6657;-0.793019238;6656;-0.780691355;6656;-0.000476139;-6657;0.006928012
6912;0.834396445;-6913;0.822352319;-6913;-0.000762762;6912;0.007620753
-6913;-0.825056915;6912;-0.809980689;6912;-0.000820519;-6913;0.00658699
7168;0.868369584;-7169;0.851835342;-7169;-0.000886838;7168;0.007063794
-7169;-0.8583481;7168;-0.839733304;7168;-0.000805646;-7169;0.007492661
7424;0.900522803;-7425;0.882717012;-7425;-0.000685648;7424;0.007161798
-7425;-0.890995925;7424;-0.86946937;7424;-0.000546262;-7425;0.00723364
7680;0.933009089;-7681;0.913373871;-7681;-0.000885431;7680;0.007384205
-7681;-0.924855251;7680;-0.899063308;7680;-0.000791322;-7681;0.007476749
7936;0.968335445;-7937;0.942481279;-7937;-0.000515849;7936;0.007444903
-7937;-0.961128078;7936;-0.929562193;7936;-0.000467567;-7937;0.007567856
