Analog Bandwidth Channel 1: 500000000
Analog Bandwidth Channel 2: 500000000
Analog Bandwidth Channel 3: 500000000
Analog Bandwidth Channel 4: 500000000
Record Length: 7918
Sample Rate: 125000000
Col0,Col1,Col2,Col3
-0.908563833956991,-0.9591040370010759,-0.0008316757057597474,0.0064557852169382
0.9144480984353252,0.9716984799324206,-0.000693819668119228,0.0067769485363774
-0.9081674099248457,-0.959570463677842,-0.0007119754168245495,0.0070613553113553
0.9149284930766054,0.971790882554946,-0.0006628313676266185,0.0065793585006947
-0.9075377964348863,-0.9588739324791561,-0.000426222645888593,0.0066868102264115
0.914380768243969,0.9718054952949357,-0.0003107166540356168,0.0064812310534293
-0.9065333208996493,-0.959152890141467,-0.0002066451149425281,0.0068963731132374
0.9137182191013006,0.97222028782999,-0.0003352919350764161,0.0072191147214854
-0.9064897714175222,-0.9580634735774292,-0.0006984134220664304,0.0065292310060629
0.9141118056871301,0.9712465227122034,-0.0004786253078817711,0.0067092796750663
-0.9055141892051926,-0.958310142533474,-0.0005998279019830671,0.0063419074460023
0.91311247532999,0.9713664249005348,-0.0006458805023998921,0.0066352195039156
-0.9062292039677307,-0.9582872454054544,-0.0005137601443097078,0.0064726970048629
0.9127537066202447,0.9717393395935991,-0.0005956249210559491,0.0067919325107364
-0.9054882722701143,-0.9582884719985484,-0.0005767918324491547,0.0068368106211317
0.9129031664456181,0.9693954569676041,-0.0006111429518757089,0.00657020572818
-0.9052451050745213,-0.958110244766007,-0.0006022289850953591,0.0068784496573829
0.911819463851522,0.970068917361382,-0.0004667566628773492,0.0066678381962865
-0.9065789697012777,-0.9580447164724633,-0.0001803743131868138,0.0069743301597827
0.9115086408203888,0.9697060325091599,-0.000463671726979913,0.0071353916019325
-0.9053328878915619,-0.9583362440002521,-0.0007408578849311531,0.0073387325138942
0.91163427000442,0.9701980852122034,-0.0004166812713148901,0.0067168736974233
-0.9058576830317708,-0.9577417892272921,-0.0005799418971832746,0.0064265011210054
0.9108223804392458,0.969457498697425,-0.0005420651367310812,0.0067277176487306
-0.904544273201657,-0.9570855944881248,-0.0004195599658961706,0.0067269404446129
0.9106638199444246,0.9690390350669454,-0.0003564153877731448,0.006630816794556
-0.904798692489268,-0.958153227627253,-0.0003476989784640622,0.0067449268583428
0.9106791773241149,0.968371740203043,-0.0006824025830491275,0.0062575200123153
-0.9042065302513598,-0.9570393161077445,-0.0001198587691044588,0.006850142494
0.9105740224753712,0.969701393165025,-0.0009347551155740714,0.0064973026793609
-0.9037303168813986,-0.9572275992326634,-0.0008696979206138635,0.0070064712406846
0.9110348415593079,0.9687264318476081,-0.0005719853243021282,0.0069789217427687
-0.9056507383241781,-0.9570453991410885,-0.000272972322218012,0.0066709665514084
0.9095658628189365,0.968894978764053,0.0000379049829480865,0.0068309729064039
-0.9032682125884133,-0.9563339121905411,-0.000576170937539467,0.0062921837501579
0.9091646713559426,0.9682581120926532,-0.000190200083680686,0.0063956105137679
-0.902390940184095,-0.955778117895038,-0.000623250402614621,0.0065289205586081
0.9095803908914385,0.9691075853385126,-0.0003236946602248324,0.0066774794350764
-0.9030858453328282,-0.955764699183715,-0.0004073830443981296,0.0071440971564355
0.9091427381347106,0.967823759196984,-0.000113397988505747,0.0064851062192119
-0.903017588141025,-0.955968302781989,-0.0001626093375015785,0.00698884954844
0.9102194632594386,0.9678889531624948,-0.0003191595222306433,0.006717670440192
-0.9012833787261598,-0.9564555055576619,-0.0003531828265125648,0.00680433304124
0.9078482178381951,0.9664626186134262,-0.0004896429360868993,0.0070040441060376
-0.9019810257989113,-0.9547799837375259,-0.0003096333443855004,0.0066790512110016
0.9080685117863464,0.9681190207780718,-0.000204593556587091,0.0064988592585576
-0.9023427253063013,-0.954347022428003,-0.0004679506915498239,0.0066914322028546
0.9085209314213099,0.9664258251626248,-0.0004486855816597171,0.0068339753457749
-0.9020665855516665,-0.9540902563313134,0.0000111609116458256,0.0067299993289756
0.90767551136005,0.9662179729932423,0.0000606067244537074,0.0063672555892383
