Date(EGSE);"HK_P5V0_ANA(raw)";"HK_P5V0_ANA(V)";"HK_P3V3_ANA(raw)";"HK_P3V3_ANA(V)";"HK_P2V5_ANA(raw)";"HK_P2V5_ANA(V)";"HK_P1V8_ANA(raw)";"HK_P1V8_ANA(V)";"HK_M2V5_ANA(raw)";"HK_M2V5_ANA(V)";"HK_M5V0_ANA(raw)";"HK_M5V0_ANA(V)";"HK_P3V3_DIG(raw)";"HK_P3V3_DIG(V)";"HK_P2V5_DIG(raw)";"HK_P2V5_DIG(V)";"HK_P1V2_DIG(raw)";"HK_P1V2_DIG(V)";"HK_TEMP_AVE(raw)";"HK_TEMP_AVE(°C)";"HK_TEMP_MAX(raw)";"HK_TEMP_MAX(°C)";"HK_P2V5_AUX(raw)";"HK_P2V5_AUX(V)";"HK_VREF_TEMP(raw)";"HK_VREF_TEMP(V)";"HK_VREF_R2R(raw)";"HK_VREF_R2R(V)";"DELOCK_FLAG(raw)";"DELOCK_FLAG()";"DMX_hks_15(raw)";"DMX_hks_15()";"DMX_hks_16(raw)";"DMX_hks_16()";"TMTC OK Board Temp 1()";"TMTC OK Board Temp 2()";"TMTC OK FPGA Temp()"
23/10/2024 13:43:44;2025;4.9097;2044;3.2916;1925;2.4232;2099;1.8750;1939;-2.4734;1964;-5.0085;2008;3.2492;1938;2.5431;1949;1.1540;2615;27.7767;2882;28.3561;1934;2.4305;1985;2.5046;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;33.1;32.4;35.1
23/10/2024 13:43:47;2025;4.9097;2045;3.2932;1926;2.4244;2101;1.8768;1939;-2.4734;1965;-5.0110;2008;3.2492;1937;2.5418;1947;1.1528;2613;27.7137;2891;28.5504;1932;2.4280;1985;2.5046;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;33.1;32.4;35.0
23/10/2024 13:43:49;2024;4.9073;2044;3.2916;1926;2.4244;2100;1.8759;1940;-2.4747;1964;-5.0085;2007;3.2476;1939;2.5444;1949;1.1540;2613;27.7137;2900;28.7447;1933;2.4293;1986;2.5058;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;33.1;32.4;35.0
23/10/2024 13:43:53;2024;4.9073;2045;3.2932;1925;2.4232;2103;1.8786;1939;-2.4734;1965;-5.0110;2007;3.2476;1938;2.5431;1947;1.1528;2615;27.7767;2910;28.9606;1934;2.4305;1986;2.5058;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;32.8;32.4;35.2
23/10/2024 13:43:55;2024;4.9073;2045;3.2932;1926;2.4244;2103;1.8786;1938;-2.4722;1964;-5.0085;2007;3.2476;1939;2.5444;1948;1.1534;2612;27.6822;2915;29.0685;1935;2.4318;1985;2.5046;2040;3.2917;0;0.0000;0;0.0000;0;0.0000;32.8;32.4;35.2
23/10/2024 13:43:56;2024;4.9073;2044;3.2916;1925;2.4232;2102;1.8777;1938;-2.4722;1964;-5.0085;2008;3.2492;1937;2.5418;1948;1.1534;2614;27.7452;2919;29.1549;1932;2.4280;1985;2.5046;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;32.8;32.4;35.2
23/10/2024 13:43:57;2024;4.9073;2044;3.2916;1925;2.4232;2102;1.8777;1938;-2.4722;1964;-5.0085;2008;3.2492;1936;2.5405;1949;1.1540;2612;27.6822;2920;29.1765;1932;2.4280;1985;2.5046;2040;3.2917;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;35.2
23/10/2024 13:43:58;2024;4.9073;2044;3.2916;1926;2.4244;2102;1.8777;1939;-2.4734;1964;-5.0085;2007;3.2476;1938;2.5431;1948;1.1534;2614;27.7452;2924;29.2628;1934;2.4305;1984;2.5033;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;35.2
23/10/2024 13:43:58;2023;4.9049;2044;3.2916;1926;2.4244;2102;1.8777;1939;-2.4734;1965;-5.0110;2008;3.2492;1937;2.5418;1946;1.1522;2612;27.6822;2925;29.2844;1932;2.4280;1985;2.5046;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;35.2
23/10/2024 13:44:00;2024;4.9073;2045;3.2932;1926;2.4244;2103;1.8786;1939;-2.4734;1964;-5.0085;2008;3.2492;1939;2.5444;1947;1.1528;2615;27.7767;2928;29.3492;1934;2.4305;1985;2.5046;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;35.2
