Date(EGSE);"HK_P5V0_ANA(raw)";"HK_P5V0_ANA(V)";"HK_P3V3_ANA(raw)";"HK_P3V3_ANA(V)";"HK_P2V5_ANA(raw)";"HK_P2V5_ANA(V)";"HK_P1V8_ANA(raw)";"HK_P1V8_ANA(V)";"HK_M2V5_ANA(raw)";"HK_M2V5_ANA(V)";"HK_M5V0_ANA(raw)";"HK_M5V0_ANA(V)";"HK_P3V3_DIG(raw)";"HK_P3V3_DIG(V)";"HK_P2V5_DIG(raw)";"HK_P2V5_DIG(V)";"HK_P1V2_DIG(raw)";"HK_P1V2_DIG(V)";"HK_TEMP_AVE(raw)";"HK_TEMP_AVE(°C)";"HK_TEMP_MAX(raw)";"HK_TEMP_MAX(°C)";"HK_P2V5_AUX(raw)";"HK_P2V5_AUX(V)";"HK_VREF_TEMP(raw)";"HK_VREF_TEMP(V)";"HK_VREF_R2R(raw)";"HK_VREF_R2R(V)";"DELOCK_FLAG(raw)";"DELOCK_FLAG()";"DMX_hks_15(raw)";"DMX_hks_15()";"DMX_hks_16(raw)";"DMX_hks_16()";"TMTC OK Board Temp 1()";"TMTC OK Board Temp 2()";"TMTC OK FPGA Temp()"
23/10/2024 11:42:18;2007;4.8661;1932;3.1112;1911;2.4055;1886;1.6848;1947;-2.4837;1966;-5.0136;1950;3.1554;1912;2.5090;1927;1.1410;2943;38.1087;3324;37.8988;1910;2.4004;1977;2.4945;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;34.8
23/10/2024 11:42:19;2007;4.8661;1931;3.1096;1911;2.4055;1886;1.6848;1947;-2.4837;1964;-5.0085;1950;3.1554;1912;2.5090;1926;1.1404;2940;38.0142;3324;37.8988;1909;2.3991;1978;2.4957;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.3
23/10/2024 11:42:20;2007;4.8661;1931;3.1096;1911;2.4055;1885;1.6839;1947;-2.4837;1965;-5.0110;1949;3.1538;1911;2.5077;1926;1.1404;2942;38.0772;3321;37.8341;1910;2.4004;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.3
23/10/2024 11:42:21;2007;4.8661;1932;3.1112;1911;2.4055;1885;1.6839;1946;-2.4824;1965;-5.0110;1950;3.1554;1912;2.5090;1925;1.1398;2943;38.1087;3325;37.9204;1909;2.3991;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.3
23/10/2024 11:42:22;2006;4.8636;1932;3.1112;1911;2.4055;1884;1.6830;1947;-2.4837;1966;-5.0136;1950;3.1554;1912;2.5090;1927;1.1410;2940;38.0142;3324;37.8988;1910;2.4004;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.3
23/10/2024 11:42:23;2006;4.8636;1933;3.1128;1911;2.4055;1886;1.6848;1947;-2.4837;1965;-5.0110;1950;3.1554;1912;2.5090;1927;1.1410;2942;38.0772;3322;37.8557;1909;2.3991;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.3
23/10/2024 11:42:24;2007;4.8661;1932;3.1112;1912;2.4068;1886;1.6848;1947;-2.4837;1965;-5.0110;1950;3.1554;1912;2.5090;1927;1.1410;2941;38.0457;3321;37.8341;1908;2.3979;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.1;32.1;34.9
23/10/2024 11:42:25;2007;4.8661;1932;3.1112;1910;2.4043;1884;1.6830;1947;-2.4837;1964;-5.0085;1948;3.1521;1913;2.5103;1926;1.1404;2939;37.9827;3324;37.8988;1910;2.4004;1978;2.4957;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;33.1;32.1;34.9
23/10/2024 11:42:26;2007;4.8661;1931;3.1096;1911;2.4055;1885;1.6839;1946;-2.4824;1964;-5.0085;1949;3.1538;1913;2.5103;1927;1.1410;2939;37.9827;3325;37.9204;1909;2.3991;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.1;32.1;34.9
23/10/2024 11:42:27;2007;4.8661;1931;3.1096;1911;2.4055;1886;1.6848;1947;-2.4837;1966;-5.0136;1949;3.1538;1910;2.5064;1927;1.1410;2939;37.9827;3323;37.8772;1908;2.3979;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.1;32.1;34.9
23/10/2024 11:42:28;2007;4.8661;1931;3.1096;1910;2.4043;1884;1.6830;1947;-2.4837;1965;-5.0110;1949;3.1538;1911;2.5077;1927;1.1410;2939;37.9827;3325;37.9204;1908;2.3979;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.1;32.1;34.9
23/10/2024 11:42:29;2006;4.8636;1930;3.1080;1911;2.4055;1885;1.6839;1946;-2.4824;1964;-5.0085;1947;3.1505;1911;2.5077;1927;1.1410;2940;38.0142;3320;37.8125;1907;2.3966;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.0
23/10/2024 11:42:30;2007;4.8661;1932;3.1112;1911;2.4055;1886;1.6848;1947;-2.4837;1965;-5.0110;1949;3.1538;1911;2.5077;1927;1.1410;2939;37.9827;3326;37.9420;1910;2.4004;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.0
23/10/2024 11:42:31;2006;4.8636;1933;3.1128;1911;2.4055;1885;1.6839;1946;-2.4824;1964;-5.0085;1948;3.1521;1911;2.5077;1926;1.1404;2940;38.0142;3325;37.9204;1909;2.3991;1977;2.4945;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.0
23/10/2024 11:42:32;2006;4.8636;1932;3.1112;1910;2.4043;1885;1.6839;1947;-2.4837;1965;-5.0110;1948;3.1521;1911;2.5077;1927;1.1410;2940;38.0142;3325;37.9204;1910;2.4004;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.0
23/10/2024 11:42:33;2007;4.8661;1932;3.1112;1911;2.4055;1885;1.6839;1946;-2.4824;1964;-5.0085;1949;3.1538;1912;2.5090;1927;1.1410;2943;38.1087;3322;37.8557;1910;2.4004;1977;2.4945;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.8;32.2;35.0
23/10/2024 11:42:34;2007;4.8661;1931;3.1096;1910;2.4043;1885;1.6839;1947;-2.4837;1964;-5.0085;1950;3.1554;1912;2.5090;1927;1.1410;2940;38.0142;3323;37.8772;1911;2.4016;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.3;32.2;34.9
23/10/2024 11:42:35;2007;4.8661;1932;3.1112;1912;2.4068;1885;1.6839;1947;-2.4837;1966;-5.0136;1947;3.1505;1912;2.5090;1928;1.1416;2943;38.1087;3323;37.8772;1910;2.4004;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.3;32.2;34.9
23/10/2024 11:42:36;2007;4.8661;1932;3.1112;1912;2.4068;1884;1.6830;1946;-2.4824;1964;-5.0085;1949;3.1538;1910;2.5064;1926;1.1404;2942;38.0772;3323;37.8772;1910;2.4004;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.3;32.2;34.9
23/10/2024 11:42:37;2007;4.8661;1932;3.1112;1910;2.4043;1885;1.6839;1947;-2.4837;1965;-5.0110;1948;3.1521;1912;2.5090;1927;1.1410;2940;38.0142;3323;37.8772;1910;2.4004;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.3;32.2;34.9
23/10/2024 11:42:38;2007;4.8661;1931;3.1096;1911;2.4055;1885;1.6839;1947;-2.4837;1965;-5.0110;1949;3.1538;1912;2.5090;1926;1.1404;2940;38.0142;3324;37.8988;1909;2.3991;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.3;32.2;34.9
23/10/2024 11:42:39;2006;4.8636;1931;3.1096;1911;2.4055;1885;1.6839;1946;-2.4824;1964;-5.0085;1949;3.1538;1911;2.5077;1927;1.1410;2941;38.0457;3321;37.8341;1908;2.3979;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.3;35.1
23/10/2024 11:42:40;2006;4.8636;1931;3.1096;1911;2.4055;1885;1.6839;1948;-2.4849;1965;-5.0110;1949;3.1538;1912;2.5090;1927;1.1410;2941;38.0457;3321;37.8341;1908;2.3979;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.3;35.1
