Date(EGSE);"HK_P5V0_ANA(raw)";"HK_P5V0_ANA(V)";"HK_P3V3_ANA(raw)";"HK_P3V3_ANA(V)";"HK_P2V5_ANA(raw)";"HK_P2V5_ANA(V)";"HK_P1V8_ANA(raw)";"HK_P1V8_ANA(V)";"HK_M2V5_ANA(raw)";"HK_M2V5_ANA(V)";"HK_M5V0_ANA(raw)";"HK_M5V0_ANA(V)";"HK_P3V3_DIG(raw)";"HK_P3V3_DIG(V)";"HK_P2V5_DIG(raw)";"HK_P2V5_DIG(V)";"HK_P1V2_DIG(raw)";"HK_P1V2_DIG(V)";"HK_TEMP_AVE(raw)";"HK_TEMP_AVE(°C)";"HK_TEMP_MAX(raw)";"HK_TEMP_MAX(°C)";"HK_P2V5_AUX(raw)";"HK_P2V5_AUX(V)";"HK_VREF_TEMP(raw)";"HK_VREF_TEMP(V)";"HK_VREF_R2R(raw)";"HK_VREF_R2R(V)";"DELOCK_FLAG(raw)";"DELOCK_FLAG()";"DMX_hks_15(raw)";"DMX_hks_15()";"DMX_hks_16(raw)";"DMX_hks_16()";"TMTC OK Board Temp 1()";"TMTC OK Board Temp 2()";"TMTC OK FPGA Temp()"
23/10/2024 12:11:18;2006;4.8636;1931;3.1096;1910;2.4043;1870;1.6705;1948;-2.4849;1965;-5.0110;1949;3.1538;1912;2.5090;1926;1.1404;2953;38.4237;3332;38.0716;1910;2.4004;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.1;32.5;35.1
23/10/2024 12:11:19;2006;4.8636;1930;3.1080;1909;2.4030;1871;1.6714;1948;-2.4849;1965;-5.0110;1949;3.1538;1910;2.5064;1926;1.1404;2954;38.4552;3332;38.0716;1906;2.3953;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.1;32.5;35.1
23/10/2024 12:11:20;2006;4.8636;1931;3.1096;1910;2.4043;1870;1.6705;1948;-2.4849;1965;-5.0110;1947;3.1505;1908;2.5037;1926;1.1404;2956;38.5182;3332;38.0716;1907;2.3966;1977;2.4945;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.1;32.5;35.1
23/10/2024 12:11:20;2006;4.8636;1931;3.1096;1910;2.4043;1870;1.6705;1948;-2.4849;1965;-5.0110;1949;3.1538;1909;2.5050;1927;1.1410;2957;38.5497;3333;38.0931;1908;2.3979;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.5;35.2
23/10/2024 12:11:22;2006;4.8636;1930;3.1080;1909;2.4030;1870;1.6705;1948;-2.4849;1965;-5.0110;1949;3.1538;1909;2.5050;1926;1.1404;2953;38.4237;3332;38.0716;1906;2.3953;1977;2.4945;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.5;35.2
23/10/2024 12:11:23;2007;4.8661;1931;3.1096;1910;2.4043;1870;1.6705;1949;-2.4862;1965;-5.0110;1947;3.1505;1910;2.5064;1926;1.1404;2954;38.4552;3336;38.1579;1906;2.3953;1977;2.4945;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.5;35.2
23/10/2024 12:11:23;2006;4.8636;1931;3.1096;1910;2.4043;1870;1.6705;1947;-2.4837;1965;-5.0110;1950;3.1554;1909;2.5050;1926;1.1404;2953;38.4237;3333;38.0931;1909;2.3991;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.5;35.2
23/10/2024 12:11:25;2006;4.8636;1931;3.1096;1910;2.4043;1871;1.6714;1948;-2.4849;1966;-5.0136;1947;3.1505;1909;2.5050;1926;1.1404;2955;38.4867;3333;38.0931;1907;2.3966;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;32.9;32.5;35.2
23/10/2024 12:11:26;2006;4.8636;1931;3.1096;1910;2.4043;1871;1.6714;1949;-2.4862;1966;-5.0136;1947;3.1505;1909;2.5050;1926;1.1404;2955;38.4867;3333;38.0931;1907;2.3966;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.2;32.4;35.3
23/10/2024 12:11:27;2006;4.8636;1930;3.1080;1910;2.4043;1871;1.6714;1949;-2.4862;1965;-5.0110;1947;3.1505;1909;2.5050;1926;1.1404;2953;38.4237;3334;38.1147;1908;2.3979;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.2;32.4;35.3
23/10/2024 12:11:28;2007;4.8661;1931;3.1096;1910;2.4043;1870;1.6705;1948;-2.4849;1965;-5.0110;1949;3.1538;1909;2.5050;1926;1.1404;2953;38.4237;3335;38.1363;1908;2.3979;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.2;32.4;35.3
23/10/2024 12:11:29;2007;4.8661;1932;3.1112;1910;2.4043;1870;1.6705;1948;-2.4849;1965;-5.0110;1947;3.1505;1909;2.5050;1925;1.1398;2955;38.4867;3332;38.0716;1906;2.3953;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.2;32.4;35.3
23/10/2024 12:11:30;2006;4.8636;1931;3.1096;1910;2.4043;1870;1.6705;1948;-2.4849;1965;-5.0110;1946;3.1489;1909;2.5050;1925;1.1398;2954;38.4552;3332;38.0716;1907;2.3966;1977;2.4945;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.2;32.4;35.3
23/10/2024 12:11:31;2006;4.8636;1931;3.1096;1911;2.4055;1871;1.6714;1949;-2.4862;1966;-5.0136;1948;3.1521;1909;2.5050;1926;1.1404;2954;38.4552;3334;38.1147;1909;2.3991;1978;2.4957;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;34.9
23/10/2024 12:11:32;2006;4.8636;1931;3.1096;1910;2.4043;1870;1.6705;1949;-2.4862;1965;-5.0110;1949;3.1538;1909;2.5050;1926;1.1404;2956;38.5182;3334;38.1147;1908;2.3979;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;34.9
23/10/2024 12:11:33;2006;4.8636;1931;3.1096;1910;2.4043;1871;1.6714;1949;-2.4862;1966;-5.0136;1948;3.1521;1911;2.5077;1927;1.1410;2956;38.5182;3334;38.1147;1909;2.3991;1978;2.4957;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;34.9
23/10/2024 12:11:34;2006;4.8636;1931;3.1096;1910;2.4043;1870;1.6705;1948;-2.4849;1965;-5.0110;1947;3.1505;1912;2.5090;1927;1.1410;2952;38.3922;3333;38.0931;1909;2.3991;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;34.9
23/10/2024 12:11:35;2007;4.8661;1930;3.1080;1910;2.4043;1870;1.6705;1948;-2.4849;1965;-5.0110;1948;3.1521;1909;2.5050;1926;1.1404;2956;38.5182;3334;38.1147;1907;2.3966;1977;2.4945;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.0;32.5;34.9
23/10/2024 12:11:36;2006;4.8636;1932;3.1112;1910;2.4043;1870;1.6705;1949;-2.4862;1966;-5.0136;1948;3.1521;1913;2.5103;1927;1.1410;2956;38.5182;3333;38.0931;1909;2.3991;1978;2.4957;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;33.0;32.4;35.1
23/10/2024 12:11:37;2006;4.8636;1931;3.1096;1909;2.4030;1870;1.6705;1948;-2.4849;1965;-5.0110;1947;3.1505;1911;2.5077;1926;1.1404;2958;38.5812;3334;38.1147;1907;2.3966;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.4;35.1
